level_0,patient1,patient2,patient3,patient4
QSER1,2453,2323,3053,2960
TCP11L1,567,479,570,536
DEPDC7,16,51,10,32
LINC00294,471,569,508,557
CSTF3-AS1,2,8,4,10
C11orf91,10,37,7,32
CD59,54451,47241,36903,78199
LOC101928440,2,0,3,4
FBXO3,3339,4238,3829,4025
LMO2,1830,1427,2805,3349
NAT10,1581,1873,2171,2922
ELF5,0,0,14,0
EHF,12398,7521,8881,11446
MIR1343,0,0,0,1
APIP,1301,1340,1691,1549
CD44,14436,31789,9338,47893
LOC100507144,5,32,18,22
FJX1,283,273,203,459
MIR3973,0,0,0,0
TRAF6,1733,1415,1949,2022
C11orf74,480,586,525,675
RAG1,53,95,34,120
RAG2,0,2,0,0
LOC101928536,0,0,0,0
LOC100507205,0,0,0,1
API5,6713,7933,9268,8327
HNRNPKP3,0,0,2,0
MIR670,3,0,0,3
MIR129-2,0,0,0,0
C11orf96,215,71,189,661
SEC14L1P1,29,60,87,58
ALKBH3-AS1,5,5,6,8
ACCS,122,265,349,378
ACCSL,0,0,0,0
CD82,2423,2471,4344,6115
LOC221122,0,0,1,0
SYT13,44317,87337,65324,49658
LOC101928812,66,4,16,123
LOC399886,0,0,0,0
CHST1,54,13,31,53
MIR7154,0,0,0,0
SLC35C1,1255,1482,1335,2293
DKFZp779M0652,14,37,8,32
MAPK8IP1,4230,4338,5442,4289
PEX16,1025,946,1024,1453
C11orf94,1,3,3,3
GYLTL1B,840,742,960,1574
LOC101928894,0,0,0,0
CREB3L1,525,1284,533,1667
MIR4688,3,5,0,0
CHRM4,48,40,83,171
MIR3160-2,0,0,0,0
MIR3160-1,0,0,0,0
MDK,4455,3089,3453,6512
HARBI1,303,254,348,351
F2,15,6,12,30
ZNF408,468,428,599,645
ARHGAP1,4220,4541,5537,8425
SNORD67,0,0,1,0
MIR5582,0,0,0,0
LRP4-AS1,10,10,5,14
ACP2,1961,2342,2159,4470
NR1H3,213,288,268,357
LOC101928943,6,4,5,4
PACSIN3,636,884,1023,1027
DDB2,845,814,656,1486
MIR6745,0,0,2,0
SLC39A13,2375,2671,2407,2837
PSMC3,3222,4038,4175,5973
SPI1,58,38,37,66
MYBPC3,2,72,0,8
RAPSN,1,5,0,10
CELF1,5501,4914,6616,6888
PTPMT1,1173,1558,1289,1791
NDUFS3,1998,2591,2456,3365
FAM180B,0,0,2,3
KBTBD4,936,1279,1350,1276
MTCH2,4990,6359,7107,8473
C1QTNF4,186,180,301,210
FNBP4,1818,1857,2281,2287
OR4B1,0,0,0,0
OR4X2,0,0,0,0
OR4X1,0,0,0,0
OR4S1,0,0,0,0
OR4C3,0,0,0,0
OR4C45,0,0,0,0
OR4A47,0,0,0,3
TRIM49B,0,0,0,0
TRIM64C,0,0,0,0
FOLH1,6,11,8,3
OR4C12,0,0,0,0
OR4C13,0,0,0,0
LOC441601,1,0,0,5
LOC646813,0,0,0,0
OR4A5,0,0,0,0
OR4C46,0,0,0,0
TRIM48,0,0,0,0
TRIM51HP,0,0,0,0
OR4A15,0,0,0,0
OR4A16,0,0,0,0
OR4C6,0,0,0,0
OR4C16,0,0,0,0
OR4C11,0,0,0,0
OR4P4,0,0,0,0
OR4S2,0,0,0,0
OR4C15,0,0,0,0
OR5D14,0,0,0,0
OR5D13,0,0,0,0
OR5D16,0,0,0,0
TRIM51,0,0,0,0
OR5I1,0,0,0,0
OR5L2,0,0,0,0
OR5L1,0,0,0,0
OR5W2,0,0,0,0
OR5D18,0,0,0,0
OR10AG1,0,0,0,0
OR5F1,0,0,0,0
OR7E5P,0,0,0,0
OR5AS1,0,0,0,0
OR5J2,0,0,0,0
OR8H3,0,0,0,0
OR8H2,0,0,0,0
OR8J3,0,0,0,0
OR8K5,0,0,0,0
OR8I2,0,0,0,0
OR8H1,0,0,0,0
OR8K3,0,0,0,0
OR5T3,0,0,0,0
OR5T2,0,0,0,0
OR5T1,0,0,0,0
OR8U8,0,0,0,0
OR8J1,0,0,0,0
OR8U1,0,0,0,0
OR5R1,0,0,0,0
OR8K1,0,0,0,0
OR5M8,0,0,0,0
OR5M11,0,0,0,0
OR5M9,0,0,0,0
OR5M3,0,0,0,0
OR5M10,0,0,0,0
OR9G1+OR9G9,0,0,0,0
OR5M1,0,0,0,0
OR5AR1,0,0,0,0
OR5AP2,0,0,0,0
MIR6128,0,0,0,0
OR9G4,0,0,0,0
OR5AK4P,0,0,0,0
OR5AK2,0,0,0,0
APLNR,0,0,2,20
LRRC55,26,14,2,34
P2RX3,0,0,0,2
TNKS1BP1,3565,3212,3636,6924
SSRP1,4671,5073,6023,8187
SLC43A3,307,768,450,2265
PRG2,2,4,2,17
RTN4RL2,234,146,300,388
UBE2L6,1397,1262,1285,2684
MIR130A,0,0,0,0
SERPING1,2618,3445,1477,6249
TIMM10,579,718,775,1014
SMTNL1,10,6,2,2
CLP1,588,590,674,992
ZDHHC5,4424,5206,4861,6297
C11orf31,1777,2354,2347,3103
MED19,498,642,650,817
YPEL4,22,12,12,21
BTBD18,4,2,4,4
TMX2,2448,4088,3333,3718
OR6Q1,0,0,0,0
OR9I1,0,0,0,0
OR10W1,0,0,0,0
OR9Q2,0,0,0,0
OR10Q1,0,0,0,0
OR1S2,0,0,0,0
OR1S1,0,0,0,0
OR5B2,0,0,0,0
OR5B17,0,0,0,0
OR5B3,0,0,0,0
OR5B21,0,0,0,0
OR5B12,0,0,0,0
CNTF,0,0,1,1
ZFP91,4184,4700,6335,5602
ZFP91-CNTF,0,0,0,0
GLYAT,0,0,0,0
GLYATL2,25,32,12,10
FAM111B,36,170,64,103
FAM111A,255,503,259,847
MPEG1,317,50,262,174
DTX4,468,796,554,1440
LOC101927204,87,90,64,171
OR4D6,0,0,0,0
OR5AN1,0,0,0,0
OR5A1,0,0,0,0
OR5A2,0,0,0,0
MIR3162,0,0,0,0
OR4D9,0,0,0,0
OR4D11,0,0,0,0
OR4D10,0,0,0,0
PATL1,2344,2343,3335,3763
OR10V1,0,0,0,0
TCN1,2393,926,2996,532
MRPL16,821,1731,1077,1666
GIF,16,42,18,6
OR10V2P,0,0,0,1
STX3,5518,4804,8873,7054
MS4A2,0,0,6,16
OOSP2,0,0,0,0
MS4A3,0,0,0,0
MS4A6A,129,24,159,50
MS4A6E,0,0,0,0
MS4A4A,65,27,49,20
MIR6503,0,0,0,0
MS4A14,0,4,6,5
MS4A1,0,1,0,0
MS4A5,0,0,0,0
MS4A12,0,0,1,0
MS4A15,0,0,0,0
MS4A8,1860,424,797,783
PRPF19,7011,7921,8628,10056
CCDC86,2784,1949,3366,3055
ZP1,45,42,31,28
PTGDR2,1173,608,1489,846
SLC15A3,51,41,104,108
TMEM132A,3491,5734,6141,6136
CD6,83,267,207,188
VPS37C,1879,1945,2367,2522
CD5,487,1445,884,1108
PGA4,0,0,0,0
VWCE,4,11,6,17
PGA5,0,0,0,0
PGA3,0,0,0,1
DAK,1022,1595,1284,2663
CPSF7,3757,3667,4864,4467
CYB561A3,1230,1580,1572,2079
TMEM216,611,612,431,823
TMEM138,831,925,866,1211
LRRC10B,1597,1088,1608,1125
PPP1R32,37,31,99,68
MIR4488,0,0,0,0
RPLP0P2,153,58,110,254
LOC101927495,64,88,62,74
MIR1908,1,0,0,6
MYRF,3592,4434,3275,6867
FEN1,706,1054,871,1198
FADS1,6470,3365,4492,9228
TMEM258,2361,2648,2413,4227
MIR611,1,2,0,1
DKFZP434K028,5,0,1,9
RAB3IL1,264,181,611,310
BEST1,77,58,105,113
FADS3,523,684,462,1464
MIR6746,0,0,0,0
SCGB1D1,0,0,0,0
SCGB2A1,3166,1148,2701,4363
INCENP,487,552,548,592
SCGB1D2,17,17,32,56
SCGB2A2,0,0,0,22
SCGB1D4,0,0,0,0
SCGB1A1,0,0,39,4
B3GAT3,1931,2299,1911,3167
MTA2,3412,3380,3688,4727
TUT1,625,1070,1091,1521
EEF1G,13626,16910,17095,23730
MIR3654,0,0,0,0
ROM1,291,260,254,317
EML3,1047,895,864,1778
MIR6747,0,0,1,0
C11orf83,487,482,392,563
LOC102288414,16,26,12,38
BSCL2,176,307,239,397
GANAB,16645,18448,19592,29519
HNRNPUL2-BSCL2,0,0,0,0
INTS5,1413,1321,1517,1853
UBXN1,2810,2940,4374,4390
C11orf48,50,80,65,95
HNRNPUL2,2504,3025,3674,3545
GNG3,20,25,34,29
TTC9C,696,482,651,950
SNORA57,13,12,11,11
METTL12,180,141,167,179
LRRN4CL,4,5,4,8
NXF1,2423,2159,2662,3331
POLR2G,1352,1519,1740,2589
SNORD27,7,10,4,4
SNORD28,7,3,1,5
SNORD30,2,2,0,2
SNORD31,6,7,3,5
SNORD29,9,6,2,5
TMEM179B,969,1564,1369,1875
TAF6L,876,1097,969,1174
WDR74,754,891,795,1321
SNORD25,15,5,9,18
SNORD26,3,1,1,2
STX5,1769,1583,1887,2421
SNORD22,4,4,10,15
TMEM223,415,525,532,688
SNHG1,707,785,720,888
MIR6514,4,1,0,1
MIR6748,10,19,20,15
SLC22A8,0,0,0,0
SLC22A6,0,0,0,0
CHRM1,2,4,0,0
SLC22A24,0,0,0,0
SLC22A25,0,0,0,0
SLC22A10,0,0,0,0
LGALS12,0,0,0,2
HRASLS5,2,41,2,12
PLA2G16,1772,2581,1607,4390
HRASLS2,2,8,0,0
RTN3,10163,12290,12040,11062
C11orf95,1702,1804,4008,1511
MARK2,3024,2837,3390,4088
C11orf84,955,715,1222,1233
RCOR2,345,248,532,263
NAA40,1953,1815,2197,2488
OTUB1,2981,3139,3514,4584
COX8A,6557,5277,6797,9758
FLRT1,376,96,275,194
FKBP2,4266,4319,4925,7957
TRPT1,551,515,574,948
GPR137,923,856,759,1277
PPP1R14B,771,850,658,1422
ESRRA,2062,2399,1800,3204
NUDT22,871,1216,872,1390
VEGFB,3332,2616,4340,3842
BAD,1263,1149,1243,1423
PLCB3,682,609,547,1082
DNAJC4,970,1008,1178,1653
PRDX5,10862,12634,12034,18601
FERMT3,35,27,57,87
TRMT112,2929,3220,3939,4833
KCNK4,0,0,2,2
TEX40,4,0,1,6
RPS6KA4,803,735,788,1107
CCDC88B,142,215,222,228
MIR1237,1,0,3,4
LOC100996455,0,6,2,2
MIR7155,0,0,0,0
SLC22A11,2,1,2,0
SLC22A12,0,0,0,0
SF1,6730,6117,10106,8316
MEN1,1353,1371,1419,1929
PYGM,0,4,2,6
RASGRP2,0,2,0,6
CDC42BPG,2520,2727,3199,3240
MAP4K2,1023,915,1526,1001
MIR192,0,0,2,1
PPP2R5B,2249,1722,2112,2143
EHD1,1099,1138,1335,2040
ATG2A,2293,1900,2387,2457
MIR194-2,0,0,0,0
GPHA2,0,26,0,2
C11orf85,8,9,6,10
MIR6750,0,0,0,1
MIR6749,1,0,0,0
SNX15,0,0,0,0
VPS51,3940,4369,4613,5442
ARL2,1276,1411,1499,1885
TMEM262,0,1,0,2
NAALADL1,149,120,152,150
CDCA5,55,132,128,144
BATF2,171,179,121,310
ZFPL1,986,1080,1147,1498
SAC3D1,459,417,333,512
ARL2-SNX15,0,1,0,0
MIR6879,128,139,122,238
CAPN1,6799,7662,5389,11577
SYVN1,2419,2750,2681,3207
ZNHIT2,336,452,459,425
FAU,6645,8487,9518,13281
MRPL49,3845,4146,4483,4993
SLC22A20,1,9,0,5
MIR6751,0,3,0,3
SPDYC,0,0,0,0
POLA2,358,433,290,529
TIGD3,82,69,71,120
DPF2,1870,1677,2373,2940
CDC42EP2,365,288,283,877
FRMD8,992,1434,1052,1972
NEAT1,10022,13222,6049,29007
MIR612,0,0,1,6
LTBP3,6280,5068,6442,12242
EHBP1L1,1440,1359,2110,2487
PCNXL3,2028,2102,2118,2976
KCNK7,15,26,11,20
SSSCA1-AS1,45,60,40,74
SSSCA1,409,619,447,716
SCYL1,2998,3383,3114,4520
FAM89B,1191,1132,813,1558
MIR4690,1,0,0,0
MAP3K11,1965,1933,2141,3135
RNASEH2C,1741,1820,1520,1519
KAT5,1806,2087,2699,2873
RELA,1719,1814,1837,2840
SIPA1,302,298,297,506
MIR4489,0,0,0,2
FIBP,1634,1928,1696,2980
SNX32,44,51,36,79
CFL1,13994,15129,15085,29881
OVOL1,63,206,56,139
CTSW,1,2,12,0
AP5B1,1609,1747,1669,2221
MUS81,1086,868,987,1472
OVOL1-AS1,1,1,4,0
EFEMP2,492,288,287,809
CCDC85B,613,725,793,762
EIF1AD,1273,1146,1315,1783
C11orf68,1131,1008,1218,1296
TSGA10IP,0,0,0,0
BANF1,1436,1697,1497,2156
DRAP1,1550,1305,1865,2483
CST6,35,10,20,37
CATSPER1,0,0,2,1
SART1,2170,2280,2709,3266
GAL3ST3,16,0,2,2
SF3B2,9608,11320,12185,15812
KLC2,3658,3921,4441,4526
CNIH2,1469,2053,1340,1973
YIF1A,3272,3700,2990,4862
RAB1B,8705,9780,10026,12693
BRMS1,1460,1541,1802,2477
RIN1,286,323,451,668
SLC29A2,760,840,707,1072
B3GNT1,3025,3249,3389,3315
CD248,230,77,115,309
PELI3,2922,3072,3041,3067
DPP3,1634,1765,1424,3718
MRPL11,726,986,923,1397
BBS1,1637,1899,2182,2054
ZDHHC24,465,638,488,894
LOC101928069,29,82,44,44
RBM14,1544,1242,1157,1850
RBM14-RBM4,0,0,0,0
RBM4B,772,587,664,1005
RBM4,1691,1804,2143,2505
CCS,929,936,1357,1395
CTSF,2551,2166,2786,2131
CCDC87,42,52,35,69
LRFN4,216,220,344,413
RCE1,399,415,522,627
SYT12,34,20,41,156
C11orf86,0,0,0,0
RHOD,183,544,198,808
MIR6860,0,0,0,0
SSH3,811,1142,869,1680
ADRBK1,3690,3792,4373,4988
ANKRD13D,1303,1384,1665,1356
RAD9A,235,148,336,262
POLD4,746,1468,759,2530
CLCF1,77,146,62,301
CABP4,2,44,14,30
CARNS1,8,29,17,41
CORO1B,3245,3164,3537,5315
TBC1D10C,1,4,12,6
TMEM134,584,633,590,791
PPP1CA,2215,2285,2270,4607
RPS6KB2,1043,921,963,1701
GPR152,0,0,2,5
PTPRCAP,49,36,28,85
CDK2AP2,978,1098,1031,1600
CABP2,0,0,0,0
GSTP1,5107,5217,4033,14703
PITPNM1,3739,4057,3998,4344
AIP,2367,2597,2734,3748
MIR6752,36,47,41,68
ACY3,8,118,34,108
NDUFV1,3223,4289,3832,5931
TBX10,0,2,1,0
ALDH3B2,0,2,23,22
NUDT8,54,112,42,107
DOC2GP,0,0,0,0
FAM86C2P,111,108,79,106
TCIRG1,438,1613,498,2160
ALDH3B1,190,306,193,414
CHKA,1392,1347,1527,2646
NDUFS8,1822,2143,1858,3023
MIR4691,0,2,2,6
MIR6753,0,3,1,19
MIR7113,5,5,8,5
SUV420H1,2798,3027,4108,3567
C11orf24,883,1031,1189,1793
MTL5,141,98,171,175
GAL,26,29,14,150
MRPL21,910,1442,1028,1612
LOC101928200,0,0,0,0
MRGPRF,18,6,12,30
MRGPRD,0,0,0,0
TPCN2,254,358,326,550
LOC338694,0,2,4,0
MYEOV,4,28,2,65
LOC101928292,0,0,0,0
FGF19,220,183,172,394
ORAOV1,447,527,595,622
FGF4,0,0,0,0
FGF3,0,0,0,0
LOC101928443,0,0,0,0
ANO1-AS2,0,0,0,4
FADD,1268,1198,1294,2112
MIR548K,0,0,0,0
SHANK2-AS1,0,0,0,0
SHANK2-AS3,0,0,0,0
MIR3664,0,0,0,0
DHCR7,4463,3604,3534,5692
FLJ42102,0,0,0,0
KRTAP5-8,0,1,4,2
KRTAP5-9,1,0,4,1
MIR6754,3,4,7,10
KRTAP5-10,0,0,0,2
KRTAP5-7,0,0,3,0
KRTAP5-11,0,0,0,0
FAM86C1,112,179,189,196
ZNF705E,4,3,10,6
ALG1L9P,19,35,13,18
DEFB108B,0,0,0,0
LOC100133315,25,58,48,66
LOC100129216,6,4,4,7
IL18BP,179,78,108,768
LOC100128494,48,48,52,58
NUMA1,9492,10838,11561,13757
MIR3165,0,0,0,0
LRTOMT,308,336,354,475
ANAPC15,244,317,346,486
LAMTOR1,3945,5050,5077,6771
PHOX2A,0,0,0,0
FOLR3,4,1,0,0
FOLR1,38,132,227,100
FOLR2,0,0,0,0
INPPL1,3491,3329,3381,4522
MIR139,0,0,0,0
ARAP1,5244,5561,5411,8074
MIR4692,0,0,0,0
ATG16L2,512,414,627,547
P2RY2,93,70,50,262
RELT,500,356,334,309
ARHGEF17,2510,2098,2649,2129
PLEKHB1,1936,2621,1436,2243
PAAF1,629,844,791,1289
COA4,1528,1710,1738,2726
UCP3,9,10,27,39
UCP2,966,1353,1605,1334
P4HA3,45,29,46,120
LOC101928580,0,0,0,2
KCNE3,68,59,233,211
LIPT2,117,114,101,134
CHRDL2,11,32,1,38
MIR4696,0,0,0,0
RNF169,863,840,1262,1041
SPCS2,866,1130,1027,1032
OR2AT4,0,0,0,0
TPBGL,25,18,16,57
SLCO2B1,107,240,176,92
MIR326,0,0,0,0
SNORD15A,5,5,4,2
RPS3,25239,24309,34060,47284
SNORD15B,4,1,1,3
KLHL35,93,126,89,120
SERPINH1,1875,1407,1894,4722
LOC283214,0,0,0,0
MOGAT2,9,0,0,1
WNT11,10,19,6,16
PRKRIR,1623,2104,2546,2472
LOC100506127,111,138,116,114
C11orf30,1001,778,1062,1166
LRRC32,371,76,726,607
LOC101928837,0,6,1,0
TSKU,320,513,313,1251
B3GNT6,0,0,0,0
MYO7A,447,469,214,563
OMP,0,0,0,1
AQP11,194,151,166,206
AAMDC,237,299,312,587
NDUFC2,2266,2605,2821,2315
NDUFC2-KCTD14,0,0,0,0
KCTD14,1,7,13,23
ALG8,939,1866,1146,1777
THRSP,2,4,7,3
USP35,774,846,702,922
KCTD21,947,675,866,1267
LOC101928865,14,15,8,10
MIR708,0,0,0,0
MIR5579,1,0,0,0
LOC101928944,0,0,0,0
MIR4300,0,0,0,0
DDIAS,18,51,64,34
SNORA70E,0,0,0,0
RAB30-AS1,195,435,333,488
ANKRD42,281,315,332,375
PCF11,2881,3255,3743,3409
CCDC90B,1981,2319,2225,2865
CCDC89,18,54,83,18
CREBZF,2941,3077,3464,2910
TMEM126B,2019,2427,2533,3010
TMEM126A,904,1218,1150,1394
C11orf73,921,1002,992,1047
MIR6755,0,0,0,0
OR7E2P,0,0,2,0
FZD4,350,786,1358,443
LOC100506368,8,13,18,19
RAB38,14,67,63,90
CTSC,941,1692,1219,1802
GRM5-AS1,0,0,0,0
FOLH1B,0,0,0,0
TRIM77,0,0,0,0
TRIM64B,0,0,0,0
TRIM49,0,0,0,0
TRIM49D1,0,0,0,0
TRIM53AP,0,0,0,0
TRIM64,0,0,0,0
TRIM49C,0,0,0,0
UBTFL1,0,0,0,0
CHORDC1,2295,1664,1722,2210
MIR4490,0,0,0,0
MTNR1B,7,10,13,10
CCDC67,10,413,19,270
SMCO4,651,2119,430,2061
SNORA40,9,13,20,40
SNORD5,5,2,11,1
SNORA32,7,15,16,13
C11orf54,1885,1690,2323,1756
SNORA18,11,22,14,7
SNORD6,2,2,0,3
MED17,1659,1548,1932,1922
SNORA1,3,1,6,4
SNORA25,14,16,11,30
VSTM5,2,6,1,0
SCARNA9,5,16,3,11
TAF1D,609,879,1000,1189
SNORA8,24,33,29,34
MIR1304,7,2,3,7
HEPHL1,12,15,18,25
PANX1,1102,1227,1150,1794
FOLR4,0,0,0,0
MRE11A,909,1205,1078,1224
ANKRD49,742,786,865,973
GPR83,14,15,6,8
C11orf97,0,0,0,2
PIWIL4,232,292,146,379
FUT4,760,1239,795,2167
KDM4E,0,0,1,0
CWC15,1601,2027,2728,2816
KDM4D,61,141,118,124
SRSF8,2874,3621,4335,4525
ENDOD1,2943,3124,3749,5362
LOC101929295,4,2,0,2
SESN3,5950,6581,8111,4879
LOC100129203,22,46,20,19
FAM76B,578,549,698,738
MTMR2,1880,2547,3192,3582
MIR1260B,0,0,0,0
JRKL,866,910,987,1369
CCDC82,1130,1365,1438,1614
TMEM133,111,163,107,158
LOC101054525,22,12,15,14
MIR3920,0,0,0,0
ANGPTL5,19,8,37,13
C11orf70,156,72,230,192
YAP1,1172,2730,1027,3277
BIRC3,1195,1864,539,5134
TMEM123,11761,14352,13337,17447
MMP20,0,0,0,0
MMP7,2330,3105,4447,22898
MMP27,0,0,0,0
MMP8,2,50,2,4
MMP1,709,594,4191,9812
MMP12,12,46,62,108
MMP10,51,14,22,894
MMP3,18,65,0,1481
WTAPP1,1,0,0,3
MMP13,0,0,0,0
DCUN1D5,1222,1711,1857,1672
MIR4693,0,0,0,0
DDI1,0,0,0,0
CASP4,537,1315,486,2496
CASP12,18,26,11,2
LOC643733,15,57,15,21
CASP5,3,19,4,9
CASP1,83,232,198,276
CARD16,9,28,79,27
CARD17,0,0,0,0
CARD18,0,0,0,0
MSANTD4,2660,2568,3454,2744
AASDHPPT,2920,3217,3718,3226
KBTBD3,828,1053,1203,1053
LOC101928535,0,0,0,0
LOC643923,0,0,0,0
ALKBH8,474,586,862,642
SLN,0,0,0,0
SLC35F2,214,690,179,603
RAB39A,462,314,424,292
CUL5,2760,2697,3539,3251
NPAT,1312,1374,1592,1528
KDELC2,758,1025,928,1058
C11orf87,22,8,36,8
FDX1,1219,1896,1331,1550
COLCA1,218,317,349,262
COLCA2,199,91,204,225
POU2AF1,2,49,10,10
MIR4491,0,0,0,0
MIR34B,0,0,0,0
C11orf88,0,0,2,0
MIR34C,0,0,0,0
BTG4,0,0,0,0
LOC100132078,2,0,0,0
LAYN,45,23,72,85
PPP2R1B,3819,3650,3723,4970
HSPB2-C11orf52,0,3,0,4
HSPB2,8,7,8,28
FDXACB1,243,344,318,411
C11orf1,943,1439,1501,1748
C11orf52,0,0,0,0
CRYAB,573,1839,284,2434
DLAT,2799,3757,3372,3667
TEX12,6,0,15,6
IL18,63,128,57,195
C11orf57,1462,1686,1969,1995
TIMM8B,924,1332,1090,1787
SDHD,2229,2866,2543,3104
PTS,1606,1982,2062,2168
PLET1,5,2,6,5
LOC101928823,0,0,0,0
LOC387810,0,2,0,0
LOC101928847,29,6,14,31
TTC12,355,856,394,798
NCAM1-AS1,6,6,9,18
DRD2,122,56,73,108
MIR4301,0,0,0,0
ANKK1,20,16,23,6
TMPRSS5,5,5,4,15
USP28,1054,883,893,1363
CLDN25,0,0,0,0
HTR3B,0,0,0,1
HTR3A,60,272,50,611
C11orf71,1342,1695,1437,1787
LOC101928940,0,0,0,2
NNMT,483,312,281,2923
RBM7,1294,1371,1558,2117
REXO2,2209,2242,1616,3263
NXPE4,0,0,0,0
LINC00900,523,593,459,394
BUD13,690,827,1121,1243
APOA4,0,0,0,0
APOA5,0,2,0,0
APOA1,8,13,2,2
APOC3,0,4,3,0
BACE1-AS,74,65,92,55
TAGLN,214,152,225,1448
LOC100652768,35,42,39,61
PCSK7,1029,1243,1007,2061
RNF214,862,914,1258,1134
SIDT2,1305,1706,1697,2246
CEP164,1123,1144,1687,1925
FXYD2,792,1447,1590,1146
TMPRSS13,53,136,90,182
FXYD6,6073,6289,5618,6573
TMPRSS4-AS1,0,1,0,0
IL10RA,344,423,608,556
SCN2B,8,6,32,0
SCN4B,18,12,58,31
AMICA1,64,20,66,34
MPZL3,661,914,939,1526
CD3E,4,9,5,16
CD3D,0,10,0,26
CD3G,0,3,8,1
MPZL2,298,509,345,709
UBE4A,3401,4311,4796,4598
ATP5L,7288,8656,9208,10097
LOC100131626,5,10,15,3
TMEM25,3336,3725,2970,2976
LOC101929089,59,62,69,63
ARCN1,14044,15934,16225,17752
IFT46,1232,1619,1414,2086
TTC36,39,21,22,17
TREH,13,53,16,30
MIR6716,4,2,2,5
CXCR5,0,0,2,5
FOXR1,0,2,0,4
RPL23AP64,15,18,33,35
BCL9L,1843,1511,1937,3288
UPK2,0,2,4,0
MIR4492,0,0,0,0
RPS25,8525,11054,13065,16190
H2AFX,888,887,807,1085
HYOU1,14258,15456,15545,18526
HINFP,520,496,613,783
HMBS,504,1002,602,1001
SLC37A4,4551,4923,7186,6728
C2CD2L,1603,1267,1564,1485
TRAPPC4,2406,3460,3673,5611
DPAGT1,1117,1984,1066,2314
VPS11,3473,3837,5218,4505
MIR3656,0,0,0,0
NLRX1,663,858,654,1188
PDZD3,10,26,22,29
ABCG4,18,4,8,20
CCDC153,92,41,109,192
MCAM,906,1027,2176,1855
RNF26,1257,1510,1723,2101
C1QTNF5+MFRP,587,1049,564,1587
USP2,1421,1532,2478,1590
MIR6756,0,0,0,0
THY1,338,101,655,410
LOC102724301,5,8,0,7
TRIM29,26,20,311,107
POU2F3,23,13,27,45
LOC649133,0,0,0,0
OAF,444,994,253,1082
TMEM136,557,619,479,1238
TBCEL,1304,1154,1864,1340
SC5D,9631,8297,9986,8797
MIRLET7A2,0,0,0,0
MIR100,0,0,0,0
MIR125B1,0,0,0,0
BLID,0,0,0,0
CRTAM,2,0,0,2
HSPA8,61653,76972,73357,91834
BSX,0,0,0,0
LOC341056,19,15,27,25
MIR4493,0,0,0,0
SCN3B,2390,1121,2615,1976
OR6X1,0,0,0,0
OR6M1,0,2,0,2
TMEM225,0,2,0,6
OR8D4,0,0,0,0
OR6T1,3,4,1,0
OR10S1,0,0,0,0
OR4D5,0,0,0,0
OR10G4,2,2,0,2
OR10G8,0,0,0,0
OR10G7,0,1,0,2
OR10G9,0,0,0,0
OR8G2,0,0,0,0
OR8B2,0,0,0,0
OR8G5,2,0,0,0
OR8D2,0,0,0,0
OR8D1,0,0,0,0
OR8B8,0,0,0,0
OR8B3,0,0,0,0
OR8B4,0,0,0,0
TBRG1,2072,2206,2664,2506
PANX3,0,0,0,0
OR8B12,0,0,0,0
OR8A1,0,0,0,0
LOC101929340,13,11,15,13
VSIG2,16,64,105,28
SPA17,167,234,261,528
NRGN,12,15,33,37
ESAM,172,56,511,176
LOC100507283,130,119,68,114
ROBO3,26,67,31,60
ROBO4,63,2,426,73
CCDC15,75,75,97,73
HEPACAM,0,0,0,0
HEPN1,0,0,0,0
TMEM218,501,760,531,659
SLC37A2,82,48,121,83
FEZ1,312,107,302,518
CHEK1,227,289,185,288
ACRV1,0,1,14,4
EI24,6478,7817,8892,9463
STT3A,9039,12933,8598,12752
PATE3,0,0,0,0
PATE1,0,0,0,0
PATE2,0,0,4,0
HYLS1,330,345,474,402
DDX25,982,1157,1324,1344
PUS3,849,843,1173,1279
PATE4,0,0,0,0
RPUSD4,506,707,662,966
DCPS,547,544,653,826
SRPR,13150,15494,15629,18971
FOXRED1,705,1184,921,1227
TIRAP,630,551,724,700
ST3GAL4,844,667,881,721
LOC101929427,3,0,5,10
MIR3167,0,0,0,0
KIRREL3-AS3,3,4,1,0
KIRREL3-AS2,0,0,0,0
LOC101929473,0,0,0,0
LOC101929497,0,0,0,0
LOC101929517,0,0,0,0
MIR6090,0,0,0,0
SENCR,2,0,2,0
KCNJ5,75,226,25,111
C11orf45,78,95,23,77
TP53AIP1,2,0,5,13
BARX2,71,201,98,408
LINC01395,0,0,0,0
TMEM45B,924,790,674,5079
PRDM10,965,687,1118,892
LINC00167,10,61,15,14
APLP2,27957,34534,24615,49800
ST14,6358,10726,6411,18946
ADAMTS15,10,15,10,23
MIR8052,0,0,0,0
SNX19,6564,7297,7533,7389
LOC101929653,0,0,0,0
NTM-IT,0,0,0,0
LOC646522,0,0,0,0
MIR4697HG,503,458,687,382
MIR4697,0,0,0,0
SPATA19,0,0,0,0
LOC100128239,39,25,51,43
ACAD8,1096,1166,1029,1520
THYN1,1640,1760,2069,2559
VPS26B,5587,5227,6145,6505
GLB1L3,115,52,84,149
B3GAT1,249,239,480,276
PDZRN4,131,92,57,133
SYT10,4,0,16,0
LOC101927905,27,54,30,43
FAM86FP,52,60,25,32
KCNC2,250,125,204,180
TMEM132B,2223,4037,4916,2077
CORO1C,2879,3133,2661,6143
SCYL2,2427,2299,2966,2786
